Starting app on Galaxy Tab S4
05-10 23:37:27.043 E/Zygote  ( 8543): isWhitelistProcess - Process is Whitelisted
05-10 23:37:27.050 E/libpersona( 8543): scanKnoxPersonas
05-10 23:37:27.507 I/zygote  ( 8543): Caused by: java.lang.ClassNotFoundException: Didn't find class "android.view.View$OnUnhandledKeyEventListener" on path: DexPathList[[zip file "/data/app/org.torproject.android-XEv0bdvyHE865mmPLv4OKQ==/base.apk"],nativeLibraryDirectories=[/data/app/org.torproject.android-XEv0bdvyHE865mmPLv4OKQ==/lib/arm, /data/app/org.torproject.android-XEv0bdvyHE865mmPLv4OKQ==/base.apk!/lib/armeabi-v7a, /system/lib, /vendor/lib]]
05-10 23:37:27.507 I/zygote  ( 8543):   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
05-10 23:37:27.507 I/zygote  ( 8543):   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
05-10 23:37:27.507 I/zygote  ( 8543):   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v4.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, android.support.v4.view.OnApplyWindowInsetsListener) (ViewCompat.java:2203)
05-10 23:37:27.507 I/zygote  ( 8543):   at android.view.ViewGroup android.support.v7.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:637)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:518)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:466)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.support.v7.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:140)
05-10 23:37:27.507 I/zygote  ( 8543):   at void org.torproject.android.OrbotMainActivity.doLayout() (OrbotMainActivity.java:288)
05-10 23:37:27.507 I/zygote  ( 8543):   at void org.torproject.android.OrbotMainActivity.onCreate(android.os.Bundle) (OrbotMainActivity.java:179)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7258)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7249)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1221)
05-10 23:37:27.507 I/zygote  ( 8543):   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2927)
05-10 23:37:27.507 I/zygote  ( 8543):   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:3059)
